974 2809
37 461 752
616 877 348
218 680 794
843 587 287
227 862 338
229 445 707
582 368 25
622 729 694
766 294 682
893 493 433
528 221 771
240 657 157
276 94 8
335 372 733
843 74 598
698 673 168
378 906 934
353 641 69
155 828 667
155 652 414
655 951 865
937 917 116
757 938 669
594 949 514
547 76 135
83 619 918
690 671 19
123 566 785
202 98 483
346 915 938
154 186 851
880 274 402
290 700 42
157 571 546
137 963 119
142 473 772
513 258 779
360 214 671
697 631 91
261 744 908
772 776 996
369 225 892
470 47 869
871 95 530
856 729 819
276 417 707
683 460 673
929 11 860
779 654 205
200 358 152
710 399 865
853 697 751
750 638 862
774 764 790
206 159 22
451 912 1
466 739 83
472 315 103
444 496 879
2 178 793
502 169 353
489 761 71
542 876 898
787 875 749
796 737 787
580 193 346
701 893 603
552 233 729
658 497 733
305 520 335
647 133 988
871 187 444
772 123 721
24 702 412
795 887 889
681 779 229
823 396 768
852 410 362
522 190 393
278 599 289
83 869 626
377 438 41
896 218 854
667 825 602
376 792 148
630 177 512
874 446 502
555 198 776
596 673 457
513 711 879
889 16 128
816 40 143
13 888 954
791 642 477
305 205 372
930 647 295
430 392 738
73 57 121
84 57 27
217 625 523
908 52 566
918 324 854
158 476 676
19 541 391
353 871 696
168 821 686
120 622 236
568 653 725
207 831 297
811 377 819
808 619 505
848 888 480
700 121 921
302 287 32
669 701 746
78 951 454
153 130 514
679 410 177
962 509 252
270 710 486
223 30 625
205 762 92
712 225 484
766 487 525
666 510 354
80 489 723
689 640 992
125 832 742
374 65 152
617 377 126
546 59 72
111 61 566
471 726 130
189 173 290
882 125 258
172 87 314
49 232 204
786 754 647
940 404 426
235 94 381
127 78 602
1 701 194
826 83 955
174 548 611
850 207 45
325 430 488
762 177 849
692 130 592
805 371 64
461 745 420
326 650 980
108 455 55
230 311 471
706 53 541
687 730 582
963 464 943
947 433 18
48 443 137
547 837 465
195 462 423
819 870 504
677 71 730
896 236 143
380 324 644
53 114 590
734 162 592
290 850 525
844 618 846
183 912 174
132 26 219
736 704 307
901 715 590
869 207 808
448 422 32
877 525 106
138 159 737
859 862 220
806 80 264
245 229 814
221 689 123
558 66 683
480 945 602
280 169 82
91 465 775
407 811 530
829 230 861
119 598 389
356 149 749
525 915 15
283 180 519
827 245 9
724 544 266
38 229 774
342 675 377
14 485 374
558 547 830
315 941 854
214 861 789
619 815 527
968 819 659
938 428 38
160 113 67
219 417 469
193 295 686
85 109 227
192 502 690
223 880 450
575 293 433
891 331 297
169 499 233
325 383 522
684 180 899
804 689 129
333 474 854
407 51 733
526 744 885
491 461 240
318 819 134
156 924 155
872 570 235
62 333 669
335 972 722
144 27 409
861 486 993
579 98 645
945 459 545
863 196 963
502 956 877
391 886 311
838 559 997
495 109 229
476 913 44
779 864 937
24 332 166
820 166 40
193 862 11
610 104 918
883 879 85
539 207 810
830 151 930
225 372 931
448 237 208
408 919 564
487 105 116
702 423 376
148 570 953
223 247 80
352 109 13
585 203 608
538 617 64
181 2 837
57 20 555
794 723 356
12 595 889
968 342 283
678 899 941
111 842 451
282 75 520
107 39 445
806 272 327
227 890 318
732 637 82
44 631 269
384 598 273
17 318 391
245 133 816
107 937 391
869 235 900
74 667 858
16 928 51
973 845 708
535 446 960
718 632 686
598 671 40
954 44 442
628 153 12
339 51 364
447 133 127
770 906 559
240 499 9
176 574 596
907 12 799
58 288 947
72 903 891
930 187 272
628 859 549
739 222 796
823 425 916
254 90 962
20 384 383
639 245 693
187 647 75
126 192 698
409 353 913
394 919 286
354 726 403
356 516 995
163 929 140
717 728 759
809 279 853
586 629 848
961 362 914
666 731 755
835 946 766
946 232 511
741 322 204
128 763 669
899 676 182
718 17 98
963 761 608
740 250 627
398 525 333
457 320 131
215 862 173
813 221 119
658 781 727
532 750 512
474 357 770
678 683 836
726 499 413
858 599 342
605 186 45
871 737 563
251 182 69
486 80 640
804 409 219
814 760 796
927 168 716
389 705 235
198 627 768
1 279 656
352 727 680
857 13 598
557 271 353
343 937 528
450 119 375
370 297 390
252 164 268
66 576 854
212 155 384
581 189 380
889 805 420
105 737 345
767 40 483
9 811 193
255 595 360
213 93 174
230 319 528
721 696 839
43 648 524
328 85 503
28 487 12
494 413 990
142 241 742
797 881 621
757 71 200
722 488 640
877 458 152
126 119 768
583 874 863
721 618 529
245 139 484
974 589 766
11 704 524
693 808 489
683 434 724
276 948 332
404 918 807
480 848 378
198 432 668
162 117 595
605 704 82
478 783 612
249 853 705
884 82 823
703 643 549
657 494 83
922 852 111
526 297 366
401 344 761
721 63 369
293 738 244
110 728 544
83 357 621
321 580 594
735 609 111
930 806 63
549 747 517
921 763 994
862 836 857
827 639 701
868 207 769
578 909 52
952 909 894
499 51 849
470 768 945
784 238 728
373 425 591
64 195 571
916 523 262
50 908 654
872 899 607
561 931 76
541 843 503
33 811 26
754 640 439
340 488 863
293 691 214
88 18 903
44 742 514
931 807 39
294 543 356
608 919 675
932 684 512
123 821 705
779 196 916
886 709 267
588 171 256
52 127 169
798 147 354
51 85 716
483 845 301
218 612 185
304 558 680
900 152 41
76 719 748
317 220 538
771 324 671
222 103 670
958 899 703
790 848 292
461 440 434
490 702 805
751 45 352
955 671 708
70 310 957
309 487 594
899 939 381
547 830 96
284 804 418
209 713 237
557 599 705
640 63 866
900 864 728
393 664 269
71 182 180
309 383 877
481 501 811
124 929 292
888 191 73
722 740 988
797 539 146
6 111 108
120 748 341
549 27 591
700 384 743
270 776 376
400 506 321
556 151 477
483 204 239
259 393 337
43 557 270
189 846 98
679 245 535
768 485 824
320 249 984
420 708 11
399 847 905
543 530 94
114 2 861
53 188 810
702 78 997
364 358 888
566 200 955
723 954 722
529 419 837
44 520 29
594 649 95
142 453 780
401 588 904
52 74 673
469 112 725
401 269 234
373 72 899
289 543 458
706 192 76
467 117 977
310 440 8
144 805 194
413 129 277
153 334 507
289 328 524
763 884 384
35 476 191
902 159 5
633 645 483
744 42 667
777 193 872
855 571 612
927 110 933
341 132 309
248 751 882
883 717 408
248 35 99
210 631 48
965 208 530
123 578 983
16 486 809
869 92 691
476 749 963
311 679 182
616 242 146
727 171 611
13 221 604
660 133 107
110 963 738
260 427 729
32 358 302
122 425 756
79 817 123
210 760 55
78 680 862
371 99 911
359 733 131
44 28 482
225 12 13
654 485 740
325 83 213
319 663 108
831 71 465
955 250 851
611 850 4
905 552 977
229 26 754
954 62 692
365 786 950
101 226 60
587 880 350
704 790 719
321 115 744
10 372 239
337 624 687
42 421 664
794 832 867
220 855 330
334 549 225
470 584 493
974 209 36
671 30 849
114 177 135
133 928 54
866 941 423
160 951 479
6 896 385
649 889 756
623 184 926
879 132 629
849 637 6
474 363 452
773 661 119
28 49 527
258 206 795
515 160 898
694 751 717
208 26 164
774 200 572
259 191 971
491 917 726
949 689 773
53 377 154
309 447 226
136 250 266
670 119 885
361 81 606
692 48 897
133 584 478
402 505 128
616 547 840
727 920 846
637 858 796
920 358 922
268 965 856
784 83 502
815 833 304
211 181 850
363 66 898
801 397 195
605 126 146
592 443 754
216 743 517
282 390 69
882 884 470
764 30 359
488 523 311
20 960 856
630 781 340
10 313 210
614 390 712
504 954 818
590 950 227
851 274 131
279 896 452
902 662 841
637 137 357
839 754 369
884 436 522
228 452 535
823 138 149
228 110 767
776 910 495
28 376 3
301 703 702
850 259 483
315 18 76
964 670 269
784 593 26
796 294 318
553 880 7
343 19 897
894 474 916
581 543 72
187 626 135
134 964 39
720 895 499
213 484 569
626 658 313
795 696 615
717 690 579
124 407 471
251 943 340
651 868 923
195 760 260
64 555 641
190 449 744
196 244 813
931 617 933
685 651 623
4 880 748
972 701 477
612 853 500
804 831 58
306 150 281
165 945 934
434 839 464
221 743 394
278 846 519
774 16 786
130 881 972
881 421 607
558 411 779
9 867 453
174 310 43
971 433 901
620 824 26
35 940 41
213 662 911
249 168 622
390 162 645
134 277 775
508 852 535
822 329 53
224 705 70
343 804 706
5 530 976
133 103 821
335 913 667
38 158 469
720 703 288
545 263 402
164 717 415
761 130 478
351 534 430
542 19 822
192 774 127
968 128 838
641 166 288
141 829 43
168 274 672
447 507 277
527 836 157
31 753 513
291 266 707
325 863 256
25 640 566
877 782 138
897 3 930
848 654 926
953 61 225
776 345 113
483 264 639
722 232 800
937 811 397
160 767 41
26 722 517
637 58 505
283 237 487
612 545 733
653 936 270
595 935 313
922 547 165
297 115 802
4 700 19
339 197 321
656 53 185
959 373 540
666 844 408
879 257 340
665 58 132
86 404 366
561 318 818
754 211 374
796 117 809
234 255 96
388 508 874
337 561 731
351 502 853
618 956 679
185 612 21
634 664 485
73 967 298
130 628 169
229 176 562
277 930 584
894 92 14
325 218 893
105 87 907
541 787 804
161 331 781
80 341 218
248 769 514
629 36 535
468 459 500
334 481 490
805 419 919
16 957 796
48 381 939
281 309 264
617 526 599
622 310 266
301 512 541
58 427 263
738 933 775
325 902 20
428 746 60
773 528 742
688 840 856
867 15 183
223 40 442
383 479 826
292 415 833
838 605 563
536 271 621
637 162 662
910 752 153
851 540 209
922 594 225
85 41 392
809 74 715
939 765 684
777 442 469
9 118 611
190 167 577
490 387 856
750 973 788
363 734 1000
216 115 26
904 137 728
428 592 756
296 38 259
922 842 243
316 587 489
575 540 675
193 596 629
615 382 444
629 706 296
557 183 565
12 723 422
306 509 765
608 792 697
50 794 984
398 59 49
101 112 268
539 536 168
69 835 341
307 922 24
397 741 721
222 479 257
463 653 291
41 130 162
10 40 340
731 184 565
367 886 548
402 919 444
168 691 827
21 859 434
409 624 872
187 22 8
309 703 762
178 60 133
618 344 246
385 490 946
826 42 930
934 762 991
151 891 130
37 393 627
469 830 913
70 240 15
468 97 903
149 938 593
158 710 231
540 903 897
329 176 248
687 196 977
58 296 133
245 485 362
326 468 864
42 68 842
290 64 548
74 949 34
780 98 482
922 123 384
372 246 994
164 890 181
848 74 844
545 306 940
47 973 484
831 554 271
588 582 381
203 682 615
105 41 968
661 877 122
262 575 613
845 543 220
440 321 619
346 386 211
133 898 87
509 575 916
536 851 416
596 524 498
753 806 161
26 183 809
234 790 783
204 728 856
663 159 999
62 781 19
21 777 88
136 158 465
641 659 420
418 404 609
740 12 650
159 219 366
20 380 476
846 965 701
89 24 376
75 424 48
462 641 908
877 195 446
206 403 753
412 267 393
470 609 55
682 20 492
221 694 525
637 669 573
94 89 395
328 407 728
597 539 467
10 805 886
873 636 693
698 614 22
892 826 53
524 34 274
45 809 507
857 873 149
474 45 965
346 890 381
796 834 176
623 488 24
175 448 771
489 156 475
845 325 213
857 739 343
5 57 27
937 76 556
49 504 469
754 187 888
298 162 882
599 529 294
556 609 23
304 133 751
912 809 723
582 638 25
46 418 68
447 319 351
429 896 801
153 891 407
443 750 346
228 699 837
760 134 71
130 339 336
705 922 339
32 933 509
120 535 798
269 881 610
318 180 188
470 450 791
840 37 147
299 461 589
371 171 845
922 949 414
50 79 659
768 335 802
614 207 879
629 923 443
264 844 7
59 353 199
610 337 14
209 526 727
248 47 895
694 244 194
415 50 931
767 825 217
174 443 477
492 209 127
525 875 153
784 347 361
131 610 427
419 165 867
264 957 434
261 159 132
636 156 213
563 599 765
598 945 695
798 687 529
646 185 299
458 489 955
310 534 634
671 811 393
209 950 167
130 725 207
760 375 103
121 803 247
859 594 965
58 475 839
483 435 221
364 827 711
315 814 828
813 653 310
768 944 233
88 58 236
969 760 681
175 772 881
905 897 729
431 723 888
570 252 29
192 196 921
246 526 447
640 437 801
546 77 310
614 605 732
197 704 896
526 49 631
968 835 953
607 814 83
346 42 412
589 944 587
563 696 644
793 762 587
404 646 728
53 287 368
356 330 744
198 87 278
110 116 612
476 591 230
355 948 351
341 243 772
972 85 302
602 426 22
285 884 942
585 190 263
409 413 447
603 463 597
849 729 109
949 229 839
959 226 73
55 607 764
839 899 824
613 763 705
544 766 685
14 542 171
270 254 918
749 65 250
761 379 155
398 242 789
184 307 813
210 921 29
82 302 198
755 358 58
834 207 681
628 522 103
218 134 30
420 683 568
374 360 289
361 539 542
417 924 360
573 254 773
788 498 911
882 675 842
749 364 570
806 590 516
115 576 563
291 50 675
442 945 290
458 219 710
822 201 97
624 873 138
456 782 588
870 914 369
374 436 944
295 267 945
435 272 601
24 778 990
435 664 502
28 506 262
79 835 175
542 404 231
323 512 288
88 125 603
155 623 795
187 630 466
130 691 831
165 945 852
756 465 935
536 567 686
379 256 842
673 84 402
447 738 471
361 970 258
594 269 410
645 519 528
793 843 721
750 89 288
274 183 710
371 312 549
573 180 540
804 218 787
745 820 983
231 706 918
708 731 913
554 153 582
529 662 136
33 330 667
81 638 278
825 390 806
798 296 983
379 612 368
961 60 837
716 382 338
433 142 9
914 94 178
735 45 763
500 458 316
226 861 634
963 739 871
917 340 799
161 323 675
308 5 978
46 409 115
935 678 26
865 226 127
712 273 755
87 707 491
415 724 148
210 718 981
594 830 97
134 794 458
848 822 398
560 604 882
774 578 289
239 523 29
896 22 847
166 803 413
151 413 947
576 633 310
138 50 350
257 448 531
421 78 255
412 185 23
620 136 141
631 97 771
910 55 12
809 80 25
43 178 719
828 673 564
518 331 575
636 703 564
797 41 839
527 496 814
127 910 740
190 426 290
891 254 487
2 384 763
954 678 338
752 799 738
769 79 963
10 499 339
657 131 178
524 155 853
791 687 341
399 36 241
445 227 733
231 974 938
789 914 336
356 757 274
664 727 801
740 423 862
838 337 214
319 488 591
853 550 486
475 34 346
770 800 426
250 623 516
303 163 415
594 962 444
210 586 823
385 563 985
156 181 836
264 829 917
12 566 72
449 40 607
904 873 257
777 428 811
185 58 692
336 508 194
322 378 969
86 13 631
881 591 428
154 491 126
835 595 509
817 88 945
314 768 708
743 225 157
798 948 88
770 497 526
739 781 12
613 238 525
619 481 340
183 507 798
919 504 943
400 78 903
968 245 685
810 304 779
370 901 127
118 662 922
945 662 135
904 581 342
492 273 341
504 863 825
217 395 18
276 417 421
798 134 105
167 553 443
743 728 219
691 45 998
66 343 259
314 226 35
910 682 264
124 155 528
800 418 334
852 21 444
745 38 270
737 561 919
709 430 743
816 974 707
134 855 638
340 488 962
352 604 772
790 512 565
733 703 622
840 680 888
184 692 206
570 714 949
550 120 653
800 758 820
661 255 729
792 964 646
790 748 505
848 942 252
389 188 645
454 822 95
126 141 156
889 503 468
710 304 284
440 763 25
107 906 744
827 458 906
317 561 994
755 874 451
910 11 290
715 282 579
147 378 578
637 732 463
589 298 63
861 768 748
82 787 779
552 624 74
590 851 371
225 533 775
765 841 442
596 646 666
256 152 367
592 244 516
753 628 672
75 25 154
611 706 541
970 544 949
630 33 190
644 678 218
791 288 508
877 94 753
479 362 616
568 457 236
746 199 419
399 43 514
172 615 956
177 395 534
449 417 345
231 85 818
459 927 553
132 422 267
934 666 247
569 227 334
634 705 404
597 321 619
293 133 720
672 953 324
525 527 973
892 651 124
130 283 484
487 380 39
559 190 335
676 260 716
942 188 7
941 367 423
236 146 479
397 228 571
315 130 242
417 888 916
914 7 577
575 150 434
474 798 979
362 124 170
323 242 818
826 478 991
711 756 478
393 374 525
227 380 716
840 658 118
232 764 421
178 725 483
405 637 287
442 702 170
39 28 290
892 896 635
695 102 511
761 90 692
876 714 822
289 153 299
859 369 793
264 161 291
435 47 359
127 324 785
635 685 551
210 88 391
307 224 935
206 246 214
876 71 950
80 784 54
765 673 475
418 653 911
436 705 96
19 249 619
517 152 83
641 761 965
597 370 883
32 181 514
759 903 252
680 716 248
583 765 407
723 318 201
382 620 471
418 856 820
18 486 241
423 251 270
239 468 730
602 5 197
772 46 871
272 640 603
12 213 761
957 362 242
363 803 887
957 852 934
349 430 993
837 600 959
2 725 498
177 102 676
181 599 688
397 942 396
157 306 278
327 751 48
938 434 325
793 328 83
877 497 842
691 9 931
745 233 373
565 60 407
86 826 984
634 414 114
370 951 347
454 598 964
663 133 97
939 365 206
455 723 230
489 353 651
445 176 587
966 492 576
434 698 623
659 345 148
836 606 339
408 928 561
66 523 500
782 151 175
558 776 158
948 538 819
225 426 618
867 711 461
916 378 882
168 426 991
468 843 777
85 705 580
156 497 649
895 420 712
124 909 480
926 127 777
511 34 863
738 872 166
489 860 915
315 520 884
556 461 429
53 509 483
140 157 464
641 348 899
923 134 792
233 350 622
655 198 505
654 477 12
807 499 173
476 309 534
583 9 622
274 709 145
884 255 899
392 891 762
710 768 414
350 697 870
935 946 333
933 204 165
644 337 978
114 209 661
257 648 168
905 531 240
795 96 302
614 273 1
860 536 337
188 430 358
379 496 393
496 593 908
908 65 587
482 875 490
862 357 147
150 881 219
962 587 610
283 114 275
878 636 419
425 708 231
569 432 854
37 507 217
318 351 396
652 109 177
171 603 28
427 589 190
82 464 957
839 498 678
644 583 493
365 813 743
490 7 395
927 804 610
319 100 565
379 494 588
33 655 770
684 755 385
806 954 349
527 598 200
748 504 221
113 473 2
115 11 595
649 598 991
421 456 268
781 331 115
113 253 50
119 28 965
968 946 292
161 106 252
100 104 520
954 898 501
331 788 244
913 311 452
11 815 449
962 464 868
624 356 407
47 322 517
786 818 500
668 414 617
325 189 722
406 691 458
961 449 990
864 748 432
91 2 75
610 704 34
487 957 825
250 394 927
119 540 283
374 735 598
733 20 719
938 258 201
99 916 790
899 610 101
715 921 625
502 466 754
36 455 787
426 762 19
332 757 373
829 269 198
700 132 946
475 905 252
25 901 666
854 578 561
758 29 507
759 468 589
206 491 563
734 968 697
842 573 726
622 573 863
246 394 743
259 92 611
965 488 874
534 964 582
937 441 302
270 52 576
951 555 73
413 834 733
674 793 460
525 554 677
180 493 741
417 748 514
165 954 311
211 108 190
731 751 519
371 609 735
633 634 918
735 134 184
940 928 15
739 11 937
249 788 578
10 24 486
121 717 404
497 947 375
536 962 837
359 369 945
931 846 886
345 760 76
574 692 129
727 277 30
434 76 870
572 386 554
631 782 462
739 640 840
436 912 240
182 301 571
347 869 876
522 736 758
757 71 823
242 949 263
20 450 833
449 573 316
784 866 156
233 806 839
361 760 869
511 639 471
966 880 781
291 153 902
206 349 644
129 641 696
663 671 714
688 641 463
296 549 721
881 159 144
56 600 726
241 881 783
677 911 277
548 962 665
520 36 923
778 308 119
594 460 636
637 900 785
792 858 848
958 47 267
474 619 937
881 416 59
685 130 680
406 908 551
34 791 850
749 264 774
238 223 642
839 540 739
234 255 837
661 320 450
603 485 2
607 752 936
409 798 512
779 649 567
278 263 707
437 406 333
116 413 929
518 482 359
157 86 63
139 922 764
500 266 379
622 223 760
531 296 929
858 671 591
349 659 446
337 871 998
219 127 318
550 960 876
828 459 325
165 567 983
693 170 595
860 214 652
733 294 570
937 77 527
489 914 768
413 945 435
445 354 41
723 194 858
344 475 775
386 61 834
944 925 359
73 864 680
385 823 938
935 45 592
186 117 225
710 466 710
465 538 728
347 876 206
156 810 955
626 889 549
737 427 654
555 480 199
89 41 786
729 562 240
582 884 698
894 910 967
36 403 542
212 666 734
267 720 142
618 435 350
327 926 566
402 455 404
772 346 599
876 189 502
391 685 651
892 693 381
911 515 588
971 471 813
854 827 277
872 179 158
572 375 131
130 283 332
562 623 607
840 388 568
165 646 567
941 943 789
424 21 123
109 344 574
63 456 856
14 251 867
437 470 912
131 669 260
691 598 778
138 26 65
778 283 852
76 920 87
147 927 31
723 620 658
16 556 617
58 967 255
586 581 566
341 513 951
418 20 688
801 545 9
903 398 174
273 331 668
473 402 634
633 369 199
377 249 148
3 190 268
799 6 715
934 41 706
845 307 149
779 94 851
496 589 663
303 357 452
619 849 370
834 397 907
400 275 637
451 23 256
888 736 661
783 799 918
349 199 812
556 788 541
509 592 370
257 841 976
425 739 400
485 861 836
970 342 955
378 304 334
713 14 569
524 527 463
969 581 289
574 314 823
951 294 301
406 639 80
692 527 217
684 566 515
104 291 29
938 818 933
393 530 564
275 695 140
581 306 503
795 607 574
214 538 756
46 881 541
798 214 393
879 601 203
608 682 589
868 941 251
761 712 571
71 302 13
736 141 530
695 24 505
76 8 513
270 56 458
774 733 410
62 944 362
284 561 780
243 915 793
608 675 967
21 581 222
131 198 217
875 347 999
921 229 632
82 973 898
774 320 71
712 809 877
683 849 287
404 534 245
880 536 228
777 288 914
617 963 179
877 938 871
918 817 219
764 406 447
66 115 546
971 651 14
109 498 40
941 316 812
886 222 182
254 257 19
970 633 769
103 345 375
532 316 304
474 139 50
595 665 950
693 129 65
708 744 91
620 170 354
560 596 613
930 824 460
908 894 273
847 517 888
266 421 657
255 963 164
427 676 746
578 741 238
258 781 555
227 490 269
636 572 401
190 239 765
611 265 132
79 11 902
49 470 764
658 706 343
389 23 389
614 351 364
576 219 703
295 895 901
763 166 123
797 554 534
267 699 526
390 915 685
513 412 842
212 53 78
224 913 633
369 946 871
741 340 644
547 498 927
466 578 929
34 390 55
414 695 899
909 350 428
356 450 829
9 300 533
524 400 541
603 813 724
57 389 758
936 929 913
877 582 741
151 433 655
64 217 370
676 431 515
768 157 787
946 221 888
547 382 696
83 534 960
860 589 731
295 866 337
664 884 64
134 625 18
467 400 812
564 702 978
232 969 111
671 785 788
317 389 348
291 529 535
530 738 132
696 5 672
159 495 78
378 337 618
497 81 227
442 262 990
685 597 945
808 646 51
577 110 345
391 504 573
630 125 896
411 417 988
298 459 732
490 69 101
201 472 204
408 955 962
592 85 106
299 259 542
351 891 1
17 672 697
36 940 332
3 963 503
113 361 833
799 11 287
872 624 175
350 765 909
564 3 279
427 622 692
628 453 832
911 13 562
887 137 710
232 598 694
912 298 336
558 843 444
427 358 71
726 373 413
299 585 85
577 972 808
406 92 906
504 960 681
380 98 991
232 76 411
393 19 177
634 206 52
516 228 677
510 688 695
682 152 134
623 793 36
17 694 641
615 28 644
44 220 405
436 227 707
366 812 894
694 64 785
372 73 792
552 186 880
348 608 699
41 71 532
12 931 402
184 148 955
97 357 742
765 684 176
940 564 272
219 371 682
505 618 117
124 602 952
131 292 152
132 39 723
321 382 964
524 151 507
126 827 119
57 938 485
568 436 993
653 445 424
3 331 14
178 596 935
598 94 19
739 549 295
652 162 374
545 569 548
972 149 548
44 682 868
542 503 160
78 370 628
438 948 595
794 608 313
528 634 170
394 678 323
761 867 764
115 743 863
423 683 778
49 956 93
858 635 395
661 596 476
70 648 797
584 374 825
423 30 689
484 144 73
818 439 432
170 290 624
583 482 996
346 421 978
489 862 923
193 684 306
266 774 771
698 451 86
307 257 419
130 261 427
151 85 666
947 698 839
466 707 809
634 542 251
100 32 208
357 794 915
419 148 457
551 278 462
111 897 401
244 157 465
428 854 391
961 24 846
548 763 143
356 447 122
15 488 224
836 588 390
661 689 477
619 795 382
750 717 867
127 89 889
256 688 510
758 590 515
84 304 399
606 791 238
849 221 419
99 926 403
766 300 9
554 302 775
544 81 6
577 385 237
406 972 489
600 487 197
102 475 862
466 389 553
437 400 50
438 205 404
165 560 582
507 955 454
296 542 85
276 221 471
204 339 300
41 226 841
40 92 716
791 296 382
485 26 737
834 639 958
111 128 417
872 877 320
87 768 35
142 97 640
820 531 355
6 576 986
435 728 656
29 512 789
292 748 192
119 673 293
249 566 597
453 955 749
631 850 3
209 803 685
449 889 452
932 624 431
734 618 438
322 782 177
437 75 893
249 850 770
274 968 332
8 602 169
5 465 328
503 455 167
577 37 510
63 353 956
289 222 242
739 694 507
797 107 225
157 496 935
891 715 838
