19
938 1851
902 773 161
651 641 215
869 819 368
346 537 999
732 560 87
553 767 890
670 537 310
266 877 816
174 301 952
605 640 662
511 174 952
763 722 637
136 52 541
905 580 341
118 535 397
515 936 604
571 671 187
273 637 588
587 48 496
413 799 585
249 48 734
384 648 768
673 405 447
558 245 374
104 485 808
10 138 954
924 557 870
100 401 80
500 774 970
818 61 225
98 158 199
155 800 407
838 59 178
821 299 124
792 460 915
214 689 506
750 919 502
29 753 775
621 871 679
615 596 36
908 726 140
673 227 511
512 273 294
205 94 809
717 269 859
735 46 213
740 406 550
448 687 179
780 465 250
380 871 196
425 98 721
732 777 633
474 241 687
668 637 211
604 710 499
26 817 871
671 647 953
120 308 708
766 307 248
422 525 884
445 691 438
842 29 296
280 902 464
266 120 257
8 20 352
904 635 656
504 161 657
775 545 740
42 418 247
166 502 674
603 622 777
207 844 342
911 450 787
317 745 166
704 132 17
88 43 53
880 410 855
804 139 94
725 837 982
478 844 84
649 921 885
28 484 158
295 938 887
410 889 506
721 283 288
196 308 777
622 241 987
501 710 887
699 295 446
272 230 741
436 847 776
833 245 293
666 787 961
458 59 954
909 218 716
90 572 390
423 933 545
875 852 456
709 28 483
737 815 742
743 484 548
917 907 754
896 314 947
856 912 423
536 214 750
704 922 995
581 917 516
784 597 74
23 503 513
702 45 748
394 448 311
783 276 368
873 672 700
839 762 410
271 751 675
487 2 479
664 768 774
400 254 870
536 137 805
837 375 45
85 636 941
82 869 806
731 815 4
906 698 58
780 923 343
431 228 269
797 179 288
11 694 750
654 236 370
340 781 219
590 501 709
282 880 261
238 511 859
320 307 598
117 167 430
659 266 561
630 893 576
466 268 6
309 616 178
15 708 742
124 605 50
37 704 199
796 12 722
910 182 983
371 872 904
372 260 832
899 669 567
115 239 881
519 661 360
548 869 123
27 52 841
808 325 654
904 84 907
238 15 265
891 793 610
362 692 623
446 175 420
353 192 727
449 302 989
470 34 93
2 105 989
294 705 858
641 892 33
696 849 254
929 376 868
938 391 464
134 829 195
168 231 234
171 807 959
276 576 201
929 793 76
711 924 852
81 235 589
39 94 723
594 721 998
311 13 666
706 441 778
352 504 480
620 538 17
187 262 193
493 347 598
380 16 970
721 127 693
305 822 204
620 456 172
109 664 416
154 633 537
216 500 524
693 346 465
529 550 248
766 169 307
637 741 969
863 62 277
164 347 822
284 775 652
776 131 542
379 775 942
860 167 944
478 576 852
757 766 179
441 876 12
145 363 40
816 372 231
36 835 937
108 116 81
101 3 993
885 19 228
753 452 960
80 180 707
521 32 105
56 677 233
162 583 607
306 243 95
327 726 50
886 368 589
497 12 911
355 284 907
284 288 94
130 826 5
180 490 456
297 728 696
798 308 499
783 687 401
648 19 621
459 92 446
522 366 730
722 664 761
30 761 656
48 799 278
695 401 323
163 524 831
316 567 50
221 912 787
849 925 990
405 886 930
244 883 662
731 537 993
88 233 411
669 505 180
580 640 711
261 110 787
244 147 821
379 768 122
307 295 89
487 468 135
843 108 754
714 686 937
605 847 264
199 4 411
495 207 662
161 146 438
454 42 755
94 163 858
325 172 475
68 139 309
67 823 432
574 76 7
675 691 176
251 488 310
449 426 388
494 288 307
492 576 917
170 833 779
533 745 848
380 584 669
439 407 181
105 884 87
270 732 469
607 59 996
898 564 889
101 280 477
780 186 572
567 361 196
539 283 565
851 402 606
708 837 947
298 439 753
533 380 37
134 169 512
754 896 961
332 707 813
339 926 542
162 473 564
878 368 704
280 465 902
450 195 264
35 856 941
816 722 309
574 279 846
233 171 883
456 158 929
747 365 498
915 18 104
653 256 759
365 50 447
183 432 321
779 103 191
769 691 942
832 898 676
171 759 639
614 658 677
280 411 907
523 733 735
36 197 328
826 50 110
752 203 267
24 864 783
762 232 458
811 210 329
529 837 185
882 785 633
789 665 152
577 399 36
404 894 405
817 192 859
51 836 926
497 58 337
275 893 644
648 173 362
815 331 260
201 867 741
99 432 129
467 642 374
195 253 576
554 508 459
825 187 793
166 816 365
766 330 562
844 421 504
162 577 210
167 152 782
399 372 337
893 794 9
714 866 391
818 665 516
419 587 595
837 16 1
186 121 171
426 355 535
308 704 14
108 314 800
97 141 463
43 195 449
231 771 382
187 188 393
375 316 443
781 521 357
587 47 27
635 222 447
712 18 847
656 514 135
689 309 974
691 597 186
541 533 883
838 225 185
110 409 817
832 170 195
649 296 463
425 559 343
660 294 795
149 407 935
87 138 354
514 287 597
128 782 708
381 78 387
555 137 39
75 53 668
460 2 193
292 345 394
471 709 225
487 51 660
662 594 877
936 29 833
768 259 590
42 28 448
179 25 587
791 150 137
882 688 610
471 301 281
810 662 235
779 391 538
806 616 349
571 901 40
1 187 624
294 377 345
697 759 563
106 855 997
394 360 695
412 133 835
335 102 27
829 442 430
101 208 535
483 862 305
530 683 226
363 911 376
410 711 891
242 883 556
617 84 264
745 767 147
775 344 395
577 703 551
118 75 711
827 543 803
7 456 774
936 918 569
911 818 700
296 631 576
243 140 839
742 787 893
496 538 187
367 383 648
168 277 502
278 32 107
809 315 38
817 772 358
844 920 381
710 91 801
558 719 246
674 30 670
241 775 640
161 813 37
831 297 999
292 12 605
331 628 781
166 395 301
534 387 828
482 137 868
784 101 226
636 733 165
190 707 1
355 320 437
204 80 737
792 926 763
545 115 725
643 27 138
168 402 537
157 818 295
386 182 734
419 799 990
335 246 714
817 41 146
327 28 459
352 758 99
663 653 280
384 719 452
31 879 292
928 554 113
23 167 712
859 754 928
891 861 770
863 583 456
458 708 3
116 850 636
192 242 63
263 352 97
277 912 583
808 191 618
769 580 576
627 674 122
35 207 146
677 813 574
695 336 546
485 256 210
198 355 35
748 201 477
396 387 774
543 138 689
790 89 313
261 553 954
891 181 485
379 530 464
64 591 962
26 14 162
337 179 693
677 858 773
273 32 162
914 100 662
115 295 228
274 168 625
675 553 375
523 709 309
113 329 976
868 915 223
377 265 983
576 92 603
727 610 515
347 902 829
350 874 271
826 265 744
250 517 943
35 408 306
228 505 890
820 26 272
734 902 412
21 366 27
49 331 879
688 452 866
549 433 809
549 447 783
290 306 54
217 885 380
741 275 980
350 59 539
651 460 73
252 524 587
540 110 529
745 580 145
925 221 452
592 601 1
570 628 599
854 262 75
790 552 408
888 767 566
723 293 600
771 354 301
619 798 840
265 828 670
429 176 297
811 362 4
205 461 565
786 883 951
888 474 622
882 336 990
660 430 675
629 746 660
928 678 989
874 417 977
811 539 34
147 841 175
725 266 51
462 876 899
345 404 659
841 807 683
269 766 134
731 743 84
462 802 823
162 33 305
750 93 467
307 614 614
577 402 589
550 772 478
461 784 527
112 276 397
638 67 909
218 560 530
763 772 658
543 899 960
120 336 427
808 180 657
515 400 879
208 242 999
152 368 156
339 827 991
164 404 536
102 149 774
121 12 775
169 709 350
66 536 523
565 3 505
654 711 845
171 517 893
219 929 971
556 6 314
353 66 21
519 179 717
645 235 613
403 23 35
808 78 848
617 558 807
49 683 637
809 272 913
27 610 235
76 759 626
301 242 689
342 221 454
312 627 775
292 565 13
158 667 479
135 767 690
272 661 230
637 293 334
857 684 742
261 116 966
935 393 449
280 903 714
531 120 260
619 749 768
180 875 826
160 316 376
445 424 452
361 176 887
46 575 692
385 820 550
120 841 487
557 485 713
95 432 99
44 791 895
852 867 142
715 794 377
385 248 576
188 411 182
598 143 531
548 856 599
132 602 782
121 379 846
635 458 375
153 120 293
565 672 555
522 860 818
573 632 577
537 274 739
97 845 123
704 632 931
883 270 175
739 178 280
270 129 765
143 725 89
889 873 251
180 306 860
660 316 766
794 485 936
499 66 287
122 100 470
36 172 745
820 151 611
705 701 330
47 21 770
281 151 730
787 826 773
405 174 564
240 918 958
569 797 316
532 582 270
783 516 628
480 415 315
352 738 368
207 587 24
838 48 357
902 305 777
412 821 226
573 669 622
285 627 384
179 44 357
331 804 676
324 80 183
396 466 920
113 634 707
408 498 870
657 579 58
39 474 995
68 487 537
283 833 239
75 560 236
447 868 834
567 736 155
689 351 720
483 71 788
297 317 217
644 868 488
846 584 91
373 120 205
919 149 682
906 540 270
889 919 493
388 915 446
641 137 506
152 438 570
17 621 969
198 921 785
769 524 76
181 528 968
370 296 249
582 553 831
711 682 818
537 738 777
586 117 945
382 292 84
875 426 577
279 315 670
337 399 791
123 843 29
885 311 672
921 703 381
23 318 783
30 390 167
383 805 109
931 456 9
51 502 681
761 704 976
413 618 443
520 478 840
845 37 19
107 157 250
348 316 968
253 248 35
728 37 520
849 255 530
15 401 459
308 387 936
488 915 913
835 367 827
911 663 594
838 517 10
525 908 112
345 923 877
182 931 975
483 778 835
682 911 249
733 806 689
368 630 83
67 81 910
580 578 678
480 365 572
730 854 265
680 253 28
134 570 883
682 733 354
345 234 684
755 442 280
541 812 840
364 865 315
503 349 90
790 665 401
466 414 325
532 667 958
287 68 140
404 188 271
586 642 583
374 759 219
453 862 185
804 50 506
643 702 672
558 330 614
755 784 223
618 693 22
77 831 718
910 723 623
628 51 420
603 305 32
367 236 237
278 459 225
785 171 527
582 445 420
652 466 956
739 320 253
708 325 852
767 434 884
293 215 908
225 574 190
75 136 337
78 453 670
754 111 285
803 835 819
929 51 857
682 168 791
610 125 719
703 311 106
70 175 161
770 61 383
631 272 664
918 477 179
399 397 519
152 283 781
827 872 462
99 319 40
67 695 182
372 546 970
834 881 952
302 778 378
457 519 359
328 63 777
791 87 885
242 751 115
776 912 46
104 847 368
738 43 408
866 439 331
202 346 918
390 625 353
582 305 552
98 422 279
830 721 901
225 530 493
779 831 41
185 695 155
341 94 295
396 637 553
661 887 801
117 635 327
78 712 387
589 160 764
517 740 34
334 316 967
411 253 27
857 321 60
692 139 851
81 122 692
24 634 847
627 135 936
630 441 502
931 445 345
512 867 651
42 493 654
69 557 315
627 29 444
326 207 796
557 792 656
637 548 100
563 757 655
420 301 657
561 233 239
277 691 895
209 862 199
497 891 932
899 31 872
932 809 900
692 55 619
907 230 801
119 188 72
333 529 675
494 172 561
884 710 857
892 366 398
251 335 88
566 272 434
433 350 552
38 180 919
374 245 407
179 691 700
437 713 372
202 495 806
430 330 669
644 655 11
930 1 337
892 175 230
797 462 550
847 239 947
772 418 546
900 5 910
172 747 379
900 908 715
459 726 733
529 184 512
578 446 534
854 577 314
259 263 662
841 646 430
859 611 950
375 878 839
646 917 274
278 540 826
395 223 867
699 377 315
290 417 965
440 194 824
384 426 305
380 857 723
330 343 318
485 575 370
255 375 748
296 481 409
674 924 610
923 92 766
916 852 329
332 495 422
830 604 96
675 412 11
79 109 601
117 883 964
508 805 193
781 533 712
156 9 188
811 29 673
414 459 99
212 856 624
331 260 187
418 506 503
695 566 204
389 579 545
278 39 827
822 277 891
62 603 193
161 778 97
439 152 214
783 353 591
465 118 413
522 178 565
526 206 80
467 544 517
756 850 20
884 78 934
145 705 661
133 347 373
607 906 233
479 22 743
298 710 393
296 677 777
293 146 980
832 200 604
861 643 785
71 258 246
763 898 114
675 430 234
434 859 617
210 482 108
676 219 776
862 861 396
759 453 478
161 691 489
894 798 93
760 212 993
440 235 32
248 58 728
825 578 587
318 550 938
174 266 490
182 350 33
525 589 17
139 347 367
209 883 397
317 414 200
249 426 199
617 280 202
86 530 219
63 685 948
387 335 204
1 515 85
930 743 646
760 693 999
147 728 928
158 811 27
199 89 313
858 740 272
829 658 943
684 536 162
511 319 977
416 29 361
362 464 255
493 309 714
391 790 654
94 746 704
166 72 941
94 716 462
114 420 959
763 568 977
474 807 719
713 35 73
209 131 360
92 654 794
301 639 826
577 409 208
624 919 97
568 767 789
39 745 503
594 465 625
423 462 455
63 42 368
738 804 972
364 385 996
116 742 981
573 877 380
281 79 76
783 64 218
238 371 930
748 889 260
173 546 442
644 93 25
60 555 336
90 43 65
383 650 346
309 560 749
656 348 625
599 183 540
165 33 361
873 479 824
261 250 788
82 643 763
130 268 236
138 804 180
777 430 182
144 123 643
779 102 152
171 683 982
737 790 671
366 812 384
910 435 199
907 650 87
745 105 909
474 751 758
516 206 687
123 927 536
604 405 234
536 923 762
810 398 559
568 70 330
834 428 447
428 568 162
398 608 136
777 486 648
447 342 96
632 478 621
397 24 746
559 56 493
839 199 893
598 217 585
326 343 830
532 690 284
604 918 814
211 681 443
42 82 853
453 686 474
47 566 574
290 706 922
462 132 567
836 113 173
658 432 13
751 11 186
749 475 909
292 673 455
783 426 36
318 65 468
66 774 698
257 611 915
294 882 512
768 900 602
656 330 899
589 30 119
16 569 83
411 382 441
725 86 210
114 708 832
321 507 85
739 191 354
307 368 945
827 552 824
279 913 546
864 208 615
845 883 908
643 497 754
390 238 224
176 29 316
895 766 595
187 118 153
46 937 809
933 409 663
672 847 951
632 476 63
255 9 192
315 38 455
894 389 536
925 833 834
878 863 133
569 50 142
36 739 213
107 128 546
716 541 799
452 783 31
12 356 462
858 302 742
367 718 200
609 477 703
914 16 765
898 712 831
303 161 114
339 98 322
768 614 762
47 768 376
305 510 893
116 604 336
235 53 625
344 71 537
791 790 219
59 733 934
508 546 188
709 902 3
84 482 943
325 65 616
731 835 363
562 145 496
270 359 565
67 467 795
631 619 327
763 6 737
664 205 817
790 180 228
320 71 980
652 764 199
789 720 449
726 666 453
674 189 628
55 527 657
194 4 30
77 350 99
897 344 95
227 47 852
913 737 441
224 926 614
769 375 313
245 224 447
268 715 776
207 704 753
593 131 155
652 819 689
348 727 556
157 803 998
326 330 229
703 229 868
369 204 337
595 390 311
99 868 999
398 24 908
428 598 133
71 538 78
91 312 455
303 308 92
862 768 506
799 111 347
335 133 841
432 422 221
689 654 237
897 188 174
886 352 16
254 221 397
802 603 906
628 241 552
883 915 827
257 936 569
70 819 316
193 592 612
260 187 827
360 711 935
587 443 841
337 43 985
566 659 668
617 789 939
874 198 206
190 608 951
723 5 62
725 334 348
873 52 269
892 786 767
11 221 942
776 549 442
137 600 975
179 829 904
527 699 791
833 705 616
61 141 999
876 559 761
725 257 188
507 144 457
555 539 201
415 6 22
174 563 172
331 109 576
535 539 52
31 899 321
913 758 654
45 669 514
800 254 815
29 75 43
832 427 911
156 73 589
247 641 299
325 575 361
887 50 354
149 497 205
56 539 484
60 35 261
260 564 86
166 39 572
707 837 484
164 137 512
193 112 963
16 613 228
621 444 621
189 309 160
90 745 379
390 756 973
454 892 619
158 280 634
644 397 517
647 836 895
630 122 885
801 115 287
435 198 431
588 407 406
372 718 584
563 121 874
775 25 755
805 783 336
889 74 313
635 325 948
883 328 806
821 866 449
123 148 872
295 493 548
835 127 399
172 571 817
81 26 926
623 884 170
683 150 362
510 450 551
750 493 394
675 134 13
813 520 641
532 287 841
144 35 949
260 793 138
561 729 223
282 526 330
794 733 136
280 921 11
10 257 555
45 165 937
4 365 807
444 453 648
202 547 715
166 686 527
414 905 533
463 550 991
574 861 894
577 924 808
904 40 347
153 773 173
137 708 451
355 32 976
930 425 544
10 375 140
624 380 167
119 770 487
113 531 699
647 900 698
394 480 357
645 648 160
539 7 920
387 750 694
141 461 515
510 566 276
165 495 601
502 822 520
470 178 54
398 770 560
730 614 873
282 827 561
113 643 979
851 723 888
637 348 311
517 648 866
534 781 588
478 774 107
597 859 285
542 198 441
529 934 236
177 504 174
675 840 711
768 70 539
630 298 996
73 586 170
339 329 809
934 616 685
699 40 504
376 229 235
179 655 368
480 116 311
892 484 548
377 464 456
925 586 621
426 12 390
270 216 901
626 536 758
553 299 105
370 207 304
54 414 324
350 789 872
625 148 203
834 441 526
104 297 904
231 286 806
936 339 176
582 22 203
548 559 59
791 216 685
815 182 789
10 713 128
914 777 291
937 304 526
153 619 925
265 642 390
647 631 804
514 575 555
394 520 106
519 19 191
357 551 236
30 75 71
922 109 729
797 369 978
823 696 563
361 532 73
494 630 989
174 625 846
597 831 335
186 354 33
536 819 382
710 402 341
745 610 958
224 867 389
797 250 512
442 413 81
648 4 672
748 382 136
349 584 70
936 464 1000
868 620 281
264 179 520
182 23 833
120 185 335
328 47 106
907 598 461
545 760 630
318 477 885
383 361 809
515 11 23
735 285 258
112 620 114
553 311 257
804 39 107
661 396 245
128 479 183
908 19 163
708 690 476
75 28 71
536 610 904
527 3 256
935 645 303
669 573 503
823 354 919
499 653 165
921 428 682
875 163 662
344 779 481
565 759 278
444 932 928
436 240 560
628 4 882
494 838 344
120 870 889
78 133 580
611 601 820
775 380 821
406 524 646
249 107 797
353 480 85
382 582 87
344 813 5
351 860 134
484 726 196
573 122 539
731 804 210
370 800 139
256 286 337
748 185 257
791 176 179
54 467 588
511 127 729
846 348 153
879 68 941
544 645 645
211 636 60
770 94 673
136 900 113
716 479 37
32 600 852
612 479 156
743 353 803
929 585 449
510 763 237
899 572 171
718 315 820
695 855 200
526 60 181
355 706 828
278 398 48
202 181 468
567 934 940
815 253 480
924 83 788
569 338 353
80 742 994
68 731 931
181 322 673
806 796 573
583 118 567
583 53 972
220 544 178
480 771 756
887 212 589
245 543 948
491 492 429
731 45 843
419 195 999
83 537 285
841 857 72
162 629 291
64 95 515
379 55 646
581 645 141
341 42 487
80 914 587
720 890 511
900 707 855
734 479 221
345 918 28
414 800 366
368 78 113
766 458 672
331 672 594
23 907 859
881 675 162
885 244 996
43 364 880
63 385 1000
843 392 985
634 583 92
320 538 322
727 563 109
625 243 218
437 531 913
222 434 888
141 540 51
804 198 89
142 597 992
857 923 763
659 823 8
113 424 482
779 433 768
868 27 724
195 708 997
817 72 356
731 775 581
889 258 155
548 386 39
734 608 142
762 705 680
901 731 85
489 22 222
246 422 253
815 213 335
853 76 4
807 893 587
427 400 515
602 580 36
629 725 706
604 676 742
385 551 118
849 1708
402 675 750
728 450 225
258 437 95
704 840 277
837 781 184
118 43 89
78 114 844
621 150 621
301 477 562
358 278 923
513 234 746
497 699 728
190 654 759
531 730 251
236 309 158
298 225 963
405 512 904
497 49 332
712 725 220
849 725 642
771 517 302
58 533 872
134 686 774
302 220 606
591 13 163
838 53 581
31 278 859
423 9 795
212 538 591
24 784 509
8 769 903
711 700 362
666 567 415
68 191 887
647 469 684
572 519 26
543 681 791
699 692 109
271 331 756
576 202 395
167 61 71
773 165 599
103 35 506
49 534 356
707 446 579
367 464 976
454 281 735
398 670 613
724 542 783
68 245 275
582 236 823
232 9 392
73 119 221
318 178 151
806 351 786
421 641 841
367 53 613
418 621 514
422 590 327
250 829 17
672 414 87
116 615 19
322 786 557
360 9 513
401 676 612
572 395 601
676 197 340
590 408 924
160 494 989
813 83 992
64 296 6
829 181 231
50 209 592
407 214 918
255 364 962
552 163 698
845 69 331
170 179 19
511 589 689
53 376 892
229 232 308
714 226 235
305 508 256
721 549 241
402 702 575
836 548 120
702 775 352
413 560 757
179 540 891
571 560 262
840 576 835
674 679 535
566 760 277
718 453 876
272 604 272
702 742 35
275 348 429
277 379 819
57 177 540
332 144 748
183 35 333
657 385 506
284 32 182
9 467 646
69 17 2
577 773 353
278 647 150
774 541 784
115 333 345
692 679 971
126 350 759
575 181 307
104 798 759
259 454 480
647 26 20
581 797 454
363 509 720
828 34 2
636 643 712
436 104 223
619 741 345
780 620 342
838 391 144
829 474 511
116 444 449
459 379 282
510 728 864
473 148 344
753 186 243
192 468 657
788 507 262
833 532 401
212 838 565
7 413 966
526 361 443
261 684 353
810 91 709
651 476 888
302 109 950
792 255 252
624 24 51
740 616 256
667 277 521
262 505 749
384 561 546
145 441 502
526 251 612
570 211 652
480 95 463
174 293 216
321 184 392
556 624 43
775 786 395
619 319 292
405 300 872
757 587 699
161 102 313
841 596 190
738 597 230
707 66 408
504 355 515
629 268 449
731 452 828
390 724 819
406 621 394
160 63 743
398 543 998
324 800 755
68 811 112
472 599 124
390 470 968
406 788 7
311 197 622
196 34 944
669 200 91
55 309 411
209 32 832
28 391 85
586 255 69
311 37 251
738 319 571
665 576 503
799 5 844
196 415 805
613 283 173
583 496 120
8 541 626
32 629 729
6 651 237
697 37 986
207 79 736
312 14 163
510 606 906
10 387 973
114 229 285
286 704 629
62 379 570
204 812 467
348 762 40
331 448 872
510 723 359
698 74 615
46 316 364
175 785 869
255 112 617
826 684 480
47 205 775
239 264 258
93 227 22
108 635 228
291 805 458
710 57 536
167 760 19
640 663 336
290 549 555
82 775 971
741 144 923
159 528 422
269 130 684
747 138 67
138 608 970
249 56 510
732 745 147
400 171 28
458 832 181
230 714 987
249 122 787
685 420 520
332 663 906
68 144 73
259 370 963
476 798 119
478 277 749
791 796 979
305 271 201
264 561 959
668 457 480
223 356 34
483 38 69
660 439 531
329 480 445
662 309 184
319 24 935
375 405 186
314 127 819
286 772 751
258 802 701
601 781 574
551 764 559
263 564 885
347 46 607
576 539 186
109 351 374
828 66 564
182 272 202
52 14 751
36 792 831
662 765 628
777 319 264
449 134 890
182 767 102
736 92 54
597 382 318
744 627 481
238 77 369
595 8 129
503 750 834
385 102 187
438 285 202
35 547 808
169 463 765
395 745 466
490 478 438
544 514 743
618 388 930
184 526 501
701 176 56
354 617 987
327 773 380
56 621 700
44 847 135
1 840 561
420 181 801
117 113 958
671 618 907
814 649 853
123 719 80
370 450 535
257 799 688
233 289 427
663 63 131
541 645 969
660 264 952
769 9 149
849 348 996
786 310 256
2 608 568
664 286 337
801 402 688
563 149 168
304 263 759
760 57 888
827 318 431
129 423 187
146 256 21
786 655 620
412 531 564
500 698 895
658 3 425
545 365 777
239 170 493
220 137 414
248 272 711
592 846 792
337 611 499
780 520 776
764 493 82
266 616 330
501 631 28
641 298 500
806 515 948
129 177 645
619 373 801
418 687 86
686 76 395
617 758 46
713 503 36
742 633 52
144 567 892
95 663 83
785 467 905
841 759 140
379 123 549
260 784 267
248 648 266
657 197 79
504 498 358
506 777 107
528 218 587
331 116 113
592 516 89
805 806 536
385 141 320
733 67 694
375 576 152
648 121 907
189 805 164
318 490 51
444 34 370
249 517 313
832 520 620
503 733 517
360 82 951
425 352 61
294 88 629
487 822 831
744 682 195
714 78 435
73 350 521
658 717 14
276 813 322
298 649 561
549 446 266
47 310 162
366 505 232
498 358 343
6 109 901
603 6 239
15 710 474
242 68 150
793 784 371
87 753 909
235 111 994
833 252 403
818 448 926
254 235 40
444 611 717
82 22 92
62 191 485
151 408 20
359 584 675
157 378 7
203 650 676
642 596 608
827 742 432
364 747 382
122 614 424
444 125 958
811 786 47
477 423 283
655 149 124
128 540 493
722 527 220
746 204 904
611 845 414
99 469 333
811 180 657
405 503 731
373 628 217
137 30 985
328 169 116
825 579 231
815 441 972
415 244 243
4 592 997
497 821 450
740 287 844
736 146 446
652 375 496
635 426 477
609 491 63
372 694 326
447 837 700
786 64 604
531 83 741
216 501 636
314 555 599
34 506 947
476 248 829
82 633 871
704 565 516
67 534 466
351 184 814
264 269 965
158 768 406
499 79 614
159 187 328
360 730 208
724 582 145
139 452 36
824 208 609
710 372 209
263 686 435
64 156 661
743 97 494
474 346 502
172 325 271
133 216 509
242 309 427
801 691 643
156 457 879
737 472 251
125 512 701
848 171 504
664 772 190
767 434 24
583 664 145
382 365 175
263 533 739
193 18 163
651 584 217
377 535 627
126 552 444
610 388 680
259 233 682
721 73 616
765 239 865
735 479 115
149 490 990
275 104 219
117 379 931
351 727 519
638 820 77
332 538 922
573 329 146
481 750 778
13 438 404
357 131 359
700 32 876
172 551 683
189 335 128
795 547 749
209 766 778
548 43 159
266 772 396
659 91 903
112 501 713
672 166 555
